candidate_id,resource_type,resource_id,source_file_or_example_name,json_valid,likely_numeric,has_value,has_unit,needs_linked_context,complexity_guess,good_for_pairing,review_notes
official-condition-0001,Condition,f001,condition-example-f001-heart.json,true,,,,true,medium,false,"external refs: Encounter/f001, Patient/f001"
official-condition-0002,Condition,f002,condition-example-f002-lung.json,true,,,,true,medium,false,"external refs: Encounter/f002, Patient/f001"
official-condition-0003,Condition,f003,condition-example-f003-abscess.json,true,,,,true,medium,false,"external refs: Encounter/f003, Patient/f001"
official-condition-0004,Condition,f201,condition-example-f201-fever.json,true,,,,true,medium,false,"external refs: Encounter/f201, Observation/f202, Patient/f201"
official-condition-0005,Condition,f202,condition-example-f202-malignancy.json,true,,,,true,medium,false,"external refs: DiagnosticReport/f201, Patient/f201"
official-condition-0006,Condition,f203,condition-example-f203-sepsis.json,true,,,,true,medium,false,"external refs: DiagnosticReport/f202, Encounter/f203, Patient/f201"
official-condition-0007,Condition,f204,condition-example-f204-renal.json,true,,,,true,medium,false,"external refs: Encounter/f203, Patient/f201, Practitioner/f201"
official-condition-0008,Condition,f205,condition-example-f205-infection.json,true,,,,true,medium,true,light linked context only
official-condition-0009,Condition,family-history,condition-example-family-history.json,true,,,,true,low,true,light linked context only
official-condition-0010,Condition,stroke,condition-example-stroke.json,true,,,,true,medium,true,light linked context only
official-condition-0011,Condition,example,condition-example.json,true,,,,true,medium,true,light linked context only
official-condition-0012,Condition,example2,condition-example2.json,true,,,,true,medium,true,light linked context only
